threshold,macro_f1
0.1,0.43243243243243246
0.15000000000000002,0.4444444444444444
0.20000000000000004,0.47058823529411764
0.25000000000000006,0.48484848484848486
0.30000000000000004,0.48484848484848486
0.3500000000000001,0.5161290322580645
0.40000000000000013,0.4666666666666667
0.4500000000000001,0.4666666666666667
0.5000000000000001,0.4827586206896552
0.5500000000000002,0.4827586206896552
0.6000000000000002,0.42857142857142855
0.6500000000000001,0.42857142857142855
0.7000000000000002,0.42857142857142855
0.7500000000000002,0.37037037037037035
0.8000000000000003,0.38461538461538464
0.8500000000000003,0.38461538461538464
