threshold,macro_f1
0.1,0.42424242424242425
0.15000000000000002,0.45161290322580644
0.20000000000000004,0.4827586206896552
0.25000000000000006,0.5
0.30000000000000004,0.5
0.3500000000000001,0.5
0.40000000000000013,0.5
0.4500000000000001,0.5384615384615384
0.5000000000000001,0.5384615384615384
0.5500000000000002,0.5384615384615384
0.6000000000000002,0.5384615384615384
0.6500000000000001,0.48
0.7000000000000002,0.5
0.7500000000000002,0.5
0.8000000000000003,0.43478260869565216
0.8500000000000003,0.36363636363636365
