threshold,macro_f1
0.1,0.24427480916030533
0.15000000000000002,0.24806201550387597
0.20000000000000004,0.24793388429752067
0.25000000000000006,0.297029702970297
0.30000000000000004,0.3125
0.3500000000000001,0.410958904109589
0.40000000000000013,0.41509433962264153
0.4500000000000001,0.5238095238095238
0.5000000000000001,0.5365853658536586
0.5500000000000002,0.5
0.6000000000000002,0.5
0.6500000000000001,0.5263157894736842
0.7000000000000002,0.5555555555555556
0.7500000000000002,0.5882352941176471
0.8000000000000003,0.6060606060606061
0.8500000000000003,0.5517241379310345
