threshold,macro_f1,micro_f1,jaccard
0.1,0.5452393368930388,0.5698324022346368,0.4038793103448276
0.15000000000000002,0.5609082663764312,0.5859375,0.42370689655172417
0.20000000000000004,0.5768086495308038,0.6119096509240246,0.4524425287356322
0.25000000000000006,0.5801025546963744,0.6173913043478261,0.4721264367816092
0.30000000000000004,0.5871263820766975,0.6224256292906178,0.4771551724137931
0.3500000000000001,0.5905633049473564,0.624113475177305,0.4771551724137931
0.40000000000000013,0.5925433395072421,0.625615763546798,0.491235632183908
0.4500000000000001,0.6079744136460554,0.6318537859007833,0.48232758620689653
0.5000000000000001,0.6208029878618113,0.6391184573002755,0.48419540229885055
0.5500000000000002,0.5997488592510923,0.6135693215339233,0.45474137931034475
0.6000000000000002,0.59031138695247,0.5981308411214953,0.430316091954023
0.6500000000000001,0.5705834957960074,0.5844155844155844,0.40660919540229884
0.7000000000000002,0.5325388337153043,0.5310344827586206,0.3599137931034483
0.7500000000000002,0.47656436656116374,0.47653429602888087,0.3081896551724138
0.8000000000000003,0.42850259449359535,0.43609022556390975,0.2751436781609195
0.8500000000000003,0.37549242424242424,0.38095238095238093,0.23419540229885055
