threshold,macro_f1,micro_f1,jaccard
0.1,0.4506896861711532,0.4656084656084656,0.3034482758620691
0.15000000000000002,0.4506896861711532,0.4656084656084656,0.3034482758620691
0.20000000000000004,0.4506896861711532,0.4656084656084656,0.3034482758620691
0.25000000000000006,0.4506896861711532,0.4656084656084656,0.3034482758620691
0.30000000000000004,0.4506896861711532,0.4656084656084656,0.3034482758620691
0.3500000000000001,0.4512674515238695,0.46622516556291393,0.3038793103448276
0.40000000000000013,0.45084298692807573,0.46604527296937415,0.3038793103448276
0.4500000000000001,0.4492990426007566,0.46785225718194257,0.3070402298850575
0.5000000000000001,0.4632711439488767,0.5034013605442177,0.34971264367816096
0.5500000000000002,0.3314946015516529,0.42168674698795183,0.27327586206896554
0.6000000000000002,0.06511224207993056,0.08205128205128205,0.03304597701149425
0.6500000000000001,0.0,0.0,0.0
0.7000000000000002,0.0,0.0,0.0
0.7500000000000002,0.0,0.0,0.0
0.8000000000000003,0.0,0.0,0.0
0.8500000000000003,0.0,0.0,0.0
