threshold,macro_f1,micro_f1,jaccard
0.1,0.4506896861711532,0.4656084656084656,0.3034482758620691
0.15000000000000002,0.45357461040159236,0.4693333333333333,0.31034482758620696
0.20000000000000004,0.45493367344093516,0.47121820615796517,0.3136494252873564
0.25000000000000006,0.4600447955903489,0.4781420765027322,0.32643678160919554
0.30000000000000004,0.4631905325614677,0.4838255977496484,0.34037356321839096
0.3500000000000001,0.4812694412293368,0.5076452599388379,0.3646551724137932
0.40000000000000013,0.5058039081171998,0.5407279029462738,0.4070402298850575
0.4500000000000001,0.5772647172115211,0.6074380165289256,0.4724137931034483
0.5000000000000001,0.5613616054640436,0.6212121212121212,0.49353448275862066
0.5500000000000002,0.4135674979510596,0.53125,0.37571839080459773
0.6000000000000002,0.290072392593401,0.3902439024390244,0.20617816091954022
0.6500000000000001,0.12464227755366997,0.18,0.07758620689655173
0.7000000000000002,0.046785714285714285,0.07608695652173914,0.034482758620689655
0.7500000000000002,0.012307692307692308,0.02247191011235955,0.008620689655172414
0.8000000000000003,0.0,0.0,0.0
0.8500000000000003,0.0,0.0,0.0
