threshold,macro_f1
0.1,0.3684210526315789
0.15000000000000002,0.3783783783783784
0.20000000000000004,0.3888888888888889
0.25000000000000006,0.4
0.30000000000000004,0.375
0.3500000000000001,0.3870967741935484
0.40000000000000013,0.3870967741935484
0.4500000000000001,0.3870967741935484
0.5000000000000001,0.41379310344827586
0.5500000000000002,0.41379310344827586
0.6000000000000002,0.35714285714285715
0.6500000000000001,0.37037037037037035
0.7000000000000002,0.37037037037037035
0.7500000000000002,0.38461538461538464
0.8000000000000003,0.38461538461538464
0.8500000000000003,0.4
