threshold,binary_f1
0.1,0.47368421052631576
0.15000000000000002,0.4864864864864865
0.20000000000000004,0.5625
0.25000000000000006,0.5161290322580645
0.30000000000000004,0.5161290322580645
0.3500000000000001,0.4666666666666667
0.40000000000000013,0.4666666666666667
0.4500000000000001,0.4827586206896552
0.5000000000000001,0.5185185185185185
0.5500000000000002,0.5185185185185185
0.6000000000000002,0.5384615384615384
0.6500000000000001,0.5384615384615384
0.7000000000000002,0.5384615384615384
0.7500000000000002,0.5384615384615384
0.8000000000000003,0.5384615384615384
0.8500000000000003,0.4166666666666667
