threshold,binary_f1
0.1,0.5581395348837209
0.15000000000000002,0.5714285714285714
0.20000000000000004,0.5641025641025641
0.25000000000000006,0.5641025641025641
0.30000000000000004,0.5641025641025641
0.3500000000000001,0.5641025641025641
0.40000000000000013,0.5789473684210527
0.4500000000000001,0.5789473684210527
0.5000000000000001,0.5789473684210527
0.5500000000000002,0.5405405405405406
0.6000000000000002,0.5
0.6500000000000001,0.47058823529411764
0.7000000000000002,0.45161290322580644
0.7500000000000002,0.4827586206896552
0.8000000000000003,0.42857142857142855
0.8500000000000003,0.3333333333333333
