threshold,binary_f1
0.1,0.24242424242424243
0.15000000000000002,0.24615384615384617
0.20000000000000004,0.27350427350427353
0.25000000000000006,0.3076923076923077
0.30000000000000004,0.35714285714285715
0.3500000000000001,0.3561643835616438
0.40000000000000013,0.3880597014925373
0.4500000000000001,0.39344262295081966
0.5000000000000001,0.5116279069767442
0.5500000000000002,0.5128205128205128
0.6000000000000002,0.5263157894736842
0.6500000000000001,0.5405405405405406
0.7000000000000002,0.5882352941176471
0.7500000000000002,0.6060606060606061
0.8000000000000003,0.4444444444444444
0.8500000000000003,0.0
